t,x,y,z
71118015.1623641848564148,-145361112.1180343627929688,-32393827.7979022189974785,-14044155.9418698716908693
71747215.9301320314407349,-140119918.3984508216381073,-48875660.2159742489457130,-21189409.2958357781171799
72376416.6978998482227325,-132686186.1980427503585815,-64596037.0990914553403854,-28005462.2852631285786629
73005617.4656676948070526,-123198343.7864820212125778,-79307177.3135834783315659,-34383726.7214138284325600
73634818.2334355413913727,-111824457.2036964744329453,-92800125.1187863647937775,-40232869.1961348280310631
74264019.0012033581733704,-98735052.0056529790163040,-104881309.7831455618143082,-45470491.6419222056865692
74893219.7689712047576904,-84133047.0010117143392563,-115361836.5635626465082169,-50014955.9429168924689293
75522420.5367390513420105,-68260557.5700710564851761,-124085920.8911068439483643,-53797259.4619538113474846
76151621.3045068681240082,-51366278.7120611369609833,-130943493.6536632627248764,-56769632.7826480045914650
76780822.0722747147083282,-33692498.9175685718655586,-135838486.9546910226345062,-58891980.5974778532981873
77410022.8400425612926483,-15506612.2145294751971960,-138690411.9577732384204865,-60129093.8953917250037193
78039223.6078103780746460,2902986.7395228659734130,-139462469.7653838098049164,-60463527.2808507531881332
78668424.3755782246589661,21264247.7579126730561256,-138160531.0771638751029968,-59898484.7157801166176796
79297625.1433460712432861,39317382.7497206702828407,-134800566.4334760308265686,-58442171.5265180096030235
79926825.9111139178276062,56787639.5047945901751518,-129421142.2217158973217010,-56110477.3404243066906929
80556026.6788817346096039,73399897.2650790214538574,-122108335.0467758327722549,-52939511.2853255495429039
81185227.4466495811939240,88914299.4754688441753387,-112979934.2868012338876724,-48981554.6018425226211548
81814428.2144174277782440,103106801.2648185193538666,-102159306.7687327116727829,-44290879.7527683973312378
82443628.9821852445602417,115750424.4575241655111313,-89795331.6960437297821045,-38930807.5458208248019218
83072829.7499530911445618,126639377.7538546770811081,-76080958.6013838499784470,-32984343.6289990246295929
83702030.5177209377288818,135615784.1311414837837219,-61224255.4797285199165344,-26543185.5761889591813087
84331231.2854887545108795,142540096.9652636349201202,-45433624.4396837279200554,-19697867.2714309282600880
84960432.0532566010951996,147282625.8114021420478821,-28940923.0979201681911945,-12547481.3504158128052950
85589632.8210244476795197,149754779.3691361248493195,-12010257.7613452691584826,-5206616.4442563671618700
86218833.5887922644615173,149920597.7193566560745239,5099387.5450956234708428,2210999.9737476529553533
