t,x,y,z
62309204.4136144518852234,99819681.7138021439313889,926996377.4329946041107178,391155539.8619422912597656
62938405.1813822984695435,95867797.7811977863311768,931368295.0516997575759888,393054848.9477882385253906
63567605.9491501301527023,91910885.6424033343791962,935693162.6936274766921997,394934305.7266888618469238
64196806.7169179767370224,87949214.0536768883466721,939971364.5585680007934570,396794069.1589738130569458
64826007.4846858084201813,83983047.4516648501157761,944203284.7468178272247314,398634298.0316948294639587
65455208.2524536550045013,80012644.8914743065834045,948389295.6232880353927612,400455146.1424567103385925
66084409.0202214717864990,76038259.3346062600612640,952529765.0360468626022339,402256765.6914806962013245
66713609.7879893183708191,72060136.8324656337499619,956625058.2852244377136230,404039308.1355422139167786
67342810.5557571649551392,68078517.1314473897218704,960675535.5734714269638062,405802922.8488688468933105
67972011.3235249817371368,64093633.5549101531505585,964681546.3330688476562500,407547754.6631953716278076
68601212.0912928283214569,60105714.2962282896041870,968643433.6497116088867188,409273945.7363876104354858
69230412.8590606749057770,56114982.5910894498229027,972561534.5058645009994507,410981635.6700932383537292
69859613.6268284916877747,52121656.8361431434750557,976436180.0840781927108765,412670961.6489821672439575
70488814.3945963382720947,48125950.6493878290057182,980267695.8922420740127563,414342058.4977861046791077
71118015.1623641848564148,44128072.9175760000944138,984056401.6131184101104736,415995058.6042609810829163
71747215.9301320314407349,40127970.6488129720091820,987802533.4422570466995239,417630580.6637660264968872
72376416.6978998482227325,36126097.9609416052699089,991506474.9660605192184448,419248271.3956303000450134
73005617.4656676948070526,32122658.7257753647863865,995168532.9934095144271851,420848248.2909754514694214
73634818.2334355413913727,28117848.1325173564255238,998789009.1857131719589233,422430636.1025380492210388
74264019.0012033581733704,24111855.3763069622218609,1002368200.7793591022491455,423995558.0512666702270508
74893219.7689712047576904,20104864.1946930214762688,1005906398.1989902257919312,425543134.6002808809280396
75522420.5367390513420105,16097054.5914663448929787,1009403892.2898036241531372,427073486.4337174296379089
76151621.3045068681240082,12088602.3158764000982046,1012860966.9749182462692261,428586731.3399788141250610
76780822.0722747147083282,8079679.1126080658286810,1016277900.9972935914993286,430082984.9657144546508789
77410022.8400425612926483,4070452.8390442254021764,1019654969.5255155563354492,431562361.4942469596862793
78039223.6078103780746460,61087.4213858926232206,1022992443.3419640064239502,433024973.3347883224487305
78668424.3755782246589661,-3948257.1195901585742831,1026290587.9296008348464966,434470930.7082431912422180
79297625.1433460712432861,-7957424.3193934168666601,1029549663.6422849893569946,435900341.6535747647285461
79926825.9111139178276062,-11966259.9386535119265318,1032769920.2461584806442261,437313309.6046697497367859
80556026.6788817346096039,-15974611.3199801687151194,1035951613.1972296237945557,438709940.2991871833801270
81185227.4466495811939240,-19982328.2261518798768520,1039094989.9135125875473022,440090336.2614410519599915
81814428.2144174277782440,-23989265.3914372399449348,1042200299.9357658624649048,441454601.2674117684364319
82443628.9821852445602417,-27995281.2923323437571526,1045267785.2079180479049683,442802835.9856094717979431
83072829.7499530911445618,-32000237.2811311036348343,1048297682.8452783823013306,444135139.0278308987617493
83702030.5177209377288818,-36003997.1094060242176056,1051290225.6653518676757812,445451607.1639611721038818
84331231.2854887545108795,-40006426.7129057645797729,1054245642.3003489971160889,446752335.3797110915184021
84960432.0532566010951996,-44007394.1779922097921371,1057164157.7851208448410034,448037417.1332383155822754
